#gamble(gambleid, high return, high prob, medium return, med prob, low return, low prob)
041, 14.885, 0.103, 01.366, 0.201, 00.285, 0.697
042, 02.768, 0.473, 02.196, 0.243, 00.557, 0.284
043, 03.109, 0.489, 01.600, 0.154, 00.655, 0.357
044, 02.654, 0.513, 01.907, 0.184, 00.950, 0.303
045, 03.549, 0.381, 01.315, 0.442, 00.386, 0.177
046, 03.964, 0.413, 01.181, 0.217, 00.288, 0.370
047, 02.663, 0.580, 02.129, 0.159, 00.443, 0.260
048, 03.159, 0.433, 01.237, 0.458, 00.603, 0.109
049, 04.035, 0.274, 01.629, 0.275, 00.992, 0.451
050, 02.433, 0.491, 02.322, 0.267, 00.769, 0.243
051, 05.601, 0.096, 01.794, 0.739, 00.840, 0.166
052, 04.043, 0.294, 01.358, 0.445, 00.799, 0.262
053, 02.504, 0.499, 01.999, 0.351, 00.328, 0.150
054, 05.435, 0.199, 01.956, 0.381, 00.415, 0.420
055, 04.694, 0.258, 01.164, 0.396, 00.950, 0.346
056, 06.472, 0.140, 02.309, 0.391, 00.404, 0.469
057, 05.024, 0.287, 01.061, 0.370, 00.485, 0.343
058, 04.913, 0.251, 01.262, 0.600, 00.081, 0.149
059, 05.236, 0.236, 01.422, 0.209, 00.839, 0.555
060, 03.607, 0.268, 01.727, 0.577, 00.238, 0.155
061, 03.014, 0.344, 01.715, 0.515, 00.562, 0.141
062, 02.576, 0.543, 01.538, 0.334, 00.714, 0.123
063, 03.185, 0.456, 01.718, 0.100, 00.845, 0.444
064, 04.191, 0.211, 02.105, 0.374, 00.790, 0.414
065, 08.685, 0.141, 01.176, 0.412, 00.645, 0.447
066, 04.374, 0.415, 02.110, 0.070, 00.071, 0.515
067, 02.951, 0.421, 01.488, 0.431, 00.784, 0.148
068, 02.568, 0.451, 01.865, 0.361, 00.901, 0.189
069, 08.423, 0.167, 01.550, 0.331, 00.166, 0.502
070, 04.694, 0.323, 01.022, 0.369, 00.342, 0.308
071, 02.262, 0.718, 01.734, 0.175, 00.676, 0.107
072, 02.778, 0.611, 01.037, 0.148, 00.620, 0.241
073, 07.902, 0.225, 01.113, 0.104, 00.155, 0.670
074, 04.717, 0.145, 01.669, 0.712, 00.884, 0.143
075, 02.554, 0.587, 01.360, 0.300, 00.815, 0.113
076, 02.616, 0.520, 01.992, 0.241, 00.672, 0.240
077, 02.477, 0.496, 02.226, 0.261, 00.783, 0.243
078, 03.124, 0.447, 01.712, 0.147, 00.867, 0.406
079, 02.808, 0.445, 02.421, 0.298, 00.118, 0.257
080, 03.023, 0.427, 02.272, 0.215, 00.614, 0.358
081, 02.641, 0.387, 01.941, 0.469, 00.464, 0.144
082, 03.334, 0.465, 01.058, 0.137, 00.764, 0.398
083, 02.845, 0.330, 02.478, 0.362, 00.530, 0.308
084, 04.402, 0.370, 01.715, 0.189, 00.110, 0.442
085, 06.011, 0.194, 02.295, 0.329, 00.166, 0.477
086, 05.164, 0.307, 01.857, 0.175, 00.176, 0.518
087, 03.331, 0.546, 01.242, 0.122, 00.088, 0.332
088, 04.104, 0.356, 01.651, 0.301, 00.121, 0.343
089, 04.388, 0.381, 01.151, 0.123, 00.376, 0.496
090, 04.731, 0.209, 01.362, 0.625, 00.977, 0.167
091, 02.714, 0.506, 02.222, 0.207, 00.582, 0.287
092, 04.507, 0.378, 01.016, 0.240, 00.140, 0.382
093, 03.253, 0.505, 01.114, 0.132, 00.579, 0.363
094, 02.214, 0.442, 02.150, 0.422, 00.844, 0.137
095, 05.571, 0.272, 01.319, 0.178, 00.456, 0.550
096, 03.210, 0.465, 01.342, 0.228, 00.660, 0.308
097, 02.935, 0.266, 02.104, 0.468, 00.881, 0.266
098, 08.026, 0.202, 01.074, 0.299, 00.115, 0.499
099, 03.222, 0.454, 02.055, 0.161, 00.537, 0.385
100, 03.112, 0.408, 01.575, 0.439, 00.250, 0.153
101, 08.569, 0.139, 01.569, 0.328, 00.558, 0.533
102, 02.624, 0.524, 01.564, 0.297, 00.902, 0.180
103, 03.812, 0.308, 01.265, 0.557, 00.888, 0.134
104, 04.912, 0.254, 02.108, 0.301, 00.262, 0.445
105, 02.675, 0.451, 01.984, 0.262, 00.954, 0.287
106, 03.527, 0.328, 01.946, 0.319, 00.632, 0.354
107, 02.787, 0.376, 01.651, 0.513, 00.937, 0.110
108, 03.331, 0.367, 01.877, 0.327, 00.538, 0.306
109, 03.186, 0.378, 02.274, 0.182, 00.866, 0.440
110, 04.784, 0.339, 01.238, 0.178, 00.330, 0.484
111, 05.026, 0.268, 02.204, 0.259, 00.170, 0.472
112, 03.840, 0.385, 01.139, 0.285, 00.597, 0.330
113, 03.675, 0.375, 02.008, 0.297, 00.083, 0.329
114, 03.695, 0.353, 01.449, 0.464, 00.129, 0.183
115, 04.529, 0.247, 02.136, 0.386, 00.157, 0.367
116, 03.388, 0.360, 02.198, 0.176, 00.849, 0.464
117, 03.899, 0.322, 01.174, 0.545, 00.778, 0.133
118, 02.561, 0.459, 01.983, 0.303, 00.942, 0.238
119, 02.708, 0.418, 02.420, 0.284, 00.603, 0.297
120, 03.821, 0.349, 01.605, 0.315, 00.480, 0.336
121, 05.239, 0.227, 01.866, 0.415, 00.099, 0.358
122, 06.526, 0.218, 01.174, 0.355, 00.382, 0.427
123, 03.611, 0.479, 01.257, 0.091, 00.361, 0.430
124, 03.744, 0.458, 01.140, 0.162, 00.264, 0.380
125, 03.277, 0.438, 02.023, 0.233, 00.282, 0.329
126, 04.496, 0.333, 01.265, 0.215, 00.511, 0.452
127, 05.737, 0.221, 01.416, 0.391, 00.464, 0.388
128, 06.213, 0.225, 01.461, 0.316, 00.308, 0.459
129, 02.820, 0.347, 01.858, 0.470, 00.808, 0.183
130, 05.971, 0.222, 01.782, 0.360, 00.081, 0.418
131, 05.190, 0.280, 02.290, 0.197, 00.187, 0.523
132, 03.499, 0.403, 01.123, 0.423, 00.660, 0.174
133, 02.868, 0.622, 01.220, 0.089, 00.370, 0.289
134, 05.902, 0.176, 01.551, 0.564, 00.343, 0.261
135, 03.015, 0.311, 02.401, 0.326, 00.768, 0.363
136, 06.899, 0.199, 01.287, 0.443, 00.170, 0.359
137, 05.115, 0.309, 01.387, 0.239, 00.200, 0.453
138, 03.056, 0.517, 01.006, 0.210, 00.766, 0.273
139, 04.863, 0.233, 02.016, 0.390, 00.220, 0.378
140, 03.416, 0.377, 01.450, 0.327, 00.804, 0.296
141, 04.649, 0.263, 01.709, 0.437, 00.109, 0.301
142, 03.069, 0.486, 01.385, 0.261, 00.586, 0.253
143, 02.931, 0.300, 02.388, 0.435, 00.304, 0.265
144, 03.326, 0.480, 01.399, 0.277, 00.073, 0.244
145, 03.395, 0.339, 02.232, 0.363, 00.129, 0.298
146, 04.461, 0.295, 01.560, 0.418, 00.108, 0.287
147, 04.726, 0.259, 01.524, 0.472, 00.217, 0.269
148, 03.167, 0.453, 01.794, 0.221, 00.519, 0.326
149, 02.636, 0.406, 02.317, 0.369, 00.333, 0.225
150, 04.812, 0.289, 01.206, 0.414, 00.376, 0.297
151, 03.207, 0.476, 01.372, 0.329, 00.109, 0.195
152, 02.524, 0.414, 01.972, 0.457, 00.420, 0.129
153, 04.502, 0.347, 01.189, 0.353, 00.065, 0.300
154, 02.902, 0.475, 01.850, 0.250, 00.579, 0.275
155, 03.429, 0.455, 01.707, 0.105, 00.591, 0.440
156, 03.793, 0.475, 02.446, 0.066, 00.084, 0.460
157, 02.644, 0.345, 02.479, 0.351, 00.716, 0.304
158, 03.655, 0.410, 01.095, 0.096, 00.800, 0.494
159, 08.963, 0.162, 01.258, 0.297, 00.320, 0.540
160, 04.211, 0.267, 01.813, 0.372, 00.563, 0.362
161, 04.423, 0.204, 02.485, 0.395, 00.283, 0.400
162, 05.049, 0.252, 01.298, 0.530, 00.186, 0.218
163, 02.488, 0.631, 01.589, 0.255, 00.215, 0.114
164, 03.573, 0.429, 01.576, 0.224, 00.324, 0.346
165, 03.326, 0.365, 01.525, 0.494, 00.222, 0.140
166, 07.172, 0.154, 01.943, 0.392, 00.291, 0.454
167, 03.950, 0.388, 01.164, 0.345, 00.246, 0.267
168, 05.225, 0.155, 02.470, 0.380, 00.545, 0.465
169, 13.257, 0.122, 01.188, 0.287, 00.072, 0.591
170, 03.347, 0.234, 02.002, 0.539, 00.608, 0.227
171, 02.669, 0.482, 01.892, 0.360, 00.196, 0.157
172, 03.176, 0.326, 02.443, 0.316, 00.537, 0.358
173, 06.811, 0.131, 02.074, 0.460, 00.373, 0.409
174, 03.376, 0.264, 02.209, 0.467, 00.290, 0.269
175, 04.083, 0.366, 01.084, 0.347, 00.453, 0.287
176, 03.258, 0.342, 01.804, 0.473, 00.187, 0.186
177, 03.333, 0.328, 01.634, 0.451, 00.769, 0.221
178, 03.982, 0.339, 01.499, 0.089, 00.906, 0.573
179, 03.061, 0.442, 01.754, 0.198, 00.830, 0.359
180, 03.451, 0.286, 02.472, 0.345, 00.435, 0.369
181, 02.713, 0.585, 01.378, 0.150, 00.780, 0.265
182, 02.639, 0.543, 01.766, 0.250, 00.606, 0.207
183, 03.566, 0.418, 01.145, 0.215, 00.719, 0.368
184, 05.076, 0.161, 01.888, 0.493, 00.727, 0.346
185, 02.618, 0.337, 02.327, 0.442, 00.407, 0.221
186, 03.824, 0.431, 01.097, 0.258, 00.222, 0.311
187, 06.773, 0.206, 01.065, 0.333, 00.541, 0.460
188, 03.009, 0.509, 01.169, 0.343, 00.448, 0.148
189, 03.853, 0.350, 02.469, 0.231, 00.195, 0.419
190, 05.368, 0.310, 01.772, 0.154, 00.113, 0.536
191, 07.641, 0.193, 01.055, 0.433, 00.186, 0.374
192, 06.296, 0.220, 01.968, 0.290, 00.095, 0.491
193, 08.420, 0.138, 01.193, 0.200, 00.901, 0.662
194, 06.145, 0.160, 01.341, 0.540, 00.981, 0.300
195, 02.627, 0.661, 01.010, 0.088, 00.700, 0.252
196, 03.044, 0.521, 01.051, 0.186, 00.744, 0.293
197, 02.659, 0.558, 01.399, 0.352, 00.270, 0.090
198, 10.573, 0.142, 01.258, 0.193, 00.378, 0.664
199, 03.740, 0.476, 01.098, 0.175, 00.080, 0.349

#gambleatts(gambleid, A1, A2, A3, A4)
000, 0, 1, 1, 1
001, 0, 1, 1, 0
002, 0, 1, 1, 0
003, 0, 1, 0, 0
004, 1, 1, 0, 0
005, 1, 0, 0, 1
006, 1, 0, 1, 0
007, 1, 1, 1, 1
008, 0, 1, 0, 0
009, 1, 1, 0, 1
010, 0, 1, 0, 1
011, 0, 0, 0, 0
012, 0, 1, 1, 0
013, 0, 1, 1, 0
014, 1, 1, 1, 0
015, 1, 0, 1, 1
016, 0, 0, 0, 0
017, 1, 0, 1, 0
018, 1, 1, 1, 0
019, 1, 0, 1, 1
020, 1, 1, 0, 1
021, 1, 0, 0, 0
022, 0, 0, 1, 1
023, 1, 0, 1, 0
024, 0, 0, 0, 0
025, 0, 0, 1, 1
026, 0, 0, 1, 1
027, 1, 1, 0, 1
028, 0, 1, 0, 0
029, 0, 1, 0, 1
030, 0, 1, 1, 1
031, 1, 0, 0, 0
032, 1, 0, 0, 0
033, 1, 0, 1, 0
034, 1, 0, 1, 0
035, 1, 0, 0, 1
036, 0, 0, 1, 1
037, 0, 1, 0, 1
038, 0, 0, 0, 1
039, 1, 1, 1, 0
040, 0, 0, 1, 1
041, 1, 0, 1, 0
042, 0, 0, 0, 1
043, 1, 1, 1, 1
044, 0, 0, 0, 0
045, 1, 1, 0, 1
046, 1, 1, 0, 1
047, 0, 0, 0, 0
048, 0, 0, 0, 1
049, 1, 1, 1, 0
050, 0, 0, 0, 1
051, 0, 1, 1, 1
052, 1, 1, 0, 1
053, 0, 0, 1, 1
054, 1, 1, 0, 0
055, 0, 0, 0, 1
056, 0, 1, 0, 1
057, 0, 0, 1, 0
058, 1, 1, 0, 0
059, 0, 1, 1, 1
060, 0, 1, 0, 0
061, 1, 0, 0, 1
062, 0, 0, 0, 0
063, 1, 0, 1, 1
064, 1, 1, 1, 0
065, 1, 1, 0, 1
066, 0, 1, 0, 0
067, 0, 1, 0, 1
068, 0, 0, 0, 0
069, 1, 1, 1, 0
070, 1, 0, 0, 0
071, 1, 1, 0, 0
072, 0, 0, 0, 1
073, 0, 1, 1, 1
074, 1, 1, 0, 0
075, 1, 0, 1, 0
076, 1, 0, 1, 1
077, 0, 1, 1, 0
078, 0, 1, 1, 1
079, 1, 0, 1, 0
080, 0, 0, 0, 1
081, 0, 1, 0, 0
082, 0, 0, 1, 0
083, 0, 0, 0, 1
084, 1, 0, 0, 1
085, 1, 0, 1, 1
086, 0, 1, 1, 1
087, 1, 1, 1, 0
088, 0, 0, 1, 0
089, 0, 1, 1, 0
090, 0, 1, 1, 0
091, 0, 0, 0, 0
092, 0, 0, 0, 1
093, 0, 0, 1, 1
094, 0, 0, 1, 1
095, 1, 0, 1, 1
096, 1, 1, 0, 0
097, 0, 1, 0, 0
098, 0, 1, 0, 1
099, 0, 0, 1, 0
100, 1, 1, 0, 0
101, 1, 0, 0, 0
102, 1, 0, 0, 1
103, 0, 0, 1, 1
104, 1, 0, 1, 1
105, 1, 0, 0, 0
106, 1, 0, 0, 1
107, 0, 1, 0, 1
108, 1, 0, 1, 0
109, 0, 1, 1, 1
110, 0, 0, 1, 0
111, 0, 1, 1, 0
112, 1, 1, 1, 1
113, 1, 0, 1, 0
114, 1, 1, 1, 1
115, 1, 1, 1, 1
116, 0, 0, 0, 1
117, 1, 1, 1, 1
118, 0, 1, 1, 1
119, 0, 0, 1, 0
120, 0, 0, 1, 0
121, 1, 1, 1, 0
122, 1, 1, 0, 0
123, 1, 0, 0, 1
124, 0, 0, 1, 1
125, 0, 0, 1, 0
126, 1, 1, 1, 0
127, 1, 0, 0, 0
128, 1, 0, 0, 0
129, 0, 1, 1, 1
130, 1, 1, 1, 1
131, 1, 1, 0, 0
132, 1, 0, 1, 1
133, 0, 0, 0, 1
134, 1, 0, 1, 1
135, 1, 1, 1, 1
136, 1, 0, 1, 0
137, 0, 1, 0, 0
138, 0, 1, 0, 1
139, 0, 0, 1, 0
140, 1, 1, 1, 1
141, 1, 1, 0, 1
142, 1, 0, 0, 1
143, 0, 0, 1, 1
144, 1, 1, 1, 0
145, 0, 1, 1, 1
146, 1, 1, 0, 1
147, 1, 0, 1, 1
148, 0, 0, 1, 0
149, 1, 0, 0, 1
150, 0, 1, 1, 1
151, 0, 0, 0, 1
152, 1, 1, 0, 0
153, 0, 1, 0, 1
154, 1, 1, 1, 1
155, 0, 0, 0, 0
156, 1, 0, 0, 0
157, 1, 0, 0, 1
158, 0, 1, 0, 1
159, 1, 1, 1, 0
160, 0, 1, 0, 1
161, 1, 0, 0, 0
162, 1, 1, 0, 0
163, 0, 1, 0, 1
164, 1, 1, 1, 0
165, 1, 1, 1, 0
166, 0, 0, 1, 0
167, 0, 0, 0, 0
168, 0, 1, 1, 0
169, 1, 1, 0, 0
170, 0, 0, 0, 0
171, 0, 1, 1, 0
172, 1, 0, 1, 1
173, 1, 1, 1, 1
174, 1, 1, 1, 1
175, 1, 1, 0, 1
176, 0, 1, 0, 0
177, 0, 1, 0, 0
178, 1, 1, 0, 0
179, 0, 1, 1, 0
180, 1, 0, 0, 0
181, 0, 1, 1, 0
182, 0, 0, 0, 0
183, 1, 0, 1, 1
184, 0, 1, 1, 1
185, 0, 1, 0, 0
186, 1, 0, 0, 0
187, 0, 1, 0, 0
188, 1, 0, 1, 0
189, 0, 0, 1, 0
190, 1, 1, 0, 1
191, 0, 0, 0, 1
192, 1, 0, 1, 1
193, 0, 0, 1, 1
194, 1, 1, 0, 1
195, 1, 0, 0, 1
196, 0, 0, 1, 1
197, 0, 1, 0, 1
198, 1, 0, 0, 1
199, 0, 1, 1, 0

#link(gambleid, gambleid)
115, 072
115, 052
115, 027
072, 052
072, 027
052, 027
140, 132
140, 105
140, 080
132, 105
132, 080
105, 080
004, 011
004, 163
004, 039
011, 163
011, 039
163, 039
139, 164
139, 081
139, 056
164, 081
164, 056
081, 056
174, 040
174, 063
174, 109
040, 063
040, 109
063, 109
074, 034
074, 041
034, 041
062, 145
062, 050
145, 050
125, 051
125, 161
051, 161
106, 010
106, 129
010, 129
058, 079
058, 193
079, 193
031, 037
031, 118
037, 118
055, 152
055, 013
152, 013
002, 155
002, 046
155, 046
067, 060
067, 122
060, 122
148, 180
148, 097
180, 097
138, 111
172, 095
094, 189
194, 134
165, 003
008, 071
178, 045
089, 098
162, 075
169, 073
044, 007
167, 154
076, 100
085, 047
157, 048
149, 016
186, 159
113, 117
184, 147
029, 057
177, 088
136, 021
086, 036
070, 124
035, 066
